,week_start,iso_code,location,average_weekly_percent_population_vaccinated,total_weekly_icu_patients_per_million,total_weekly_new_cases_per_ten_million,total_weekly_new_deaths_per_million,total_weekly_new_vaccinatons_per_thousand
192,2020-08-10,DEU,Germany,0.0,19.037,9.561,0.372,0.0
193,2020-08-10,FRA,France,0.0,36.792,25.7634,1.424,0.0
194,2020-08-10,GBR,United Kingdom,0.0,7.776,11.5496,2.237,0.0
195,2020-08-10,NZL,New Zealand,0.0,0.0,1.0028000000000001,0.0,0.0
196,2020-08-10,OWID_EUN,European Union,0.0,0.0,22.8717,2.488,0.0
197,2020-08-10,USA,United States,0.0,261.70799999999997,107.20429999999999,21.886,0.0
198,2020-08-17,DEU,Germany,0.0,19.409,11.491,0.372,0.0
199,2020-08-17,FRA,France,0.0,37.662,39.0056,1.826,0.0
200,2020-08-17,GBR,United Kingdom,0.0,7.510999999999999,11.4473,1.674,0.0
201,2020-08-17,NZL,New Zealand,0.0,0.0,1.0221,0.0,0.0
202,2020-08-17,OWID_EUN,European Union,0.0,0.0,28.0935,2.419,0.0
203,2020-08-17,USA,United States,0.0,234.41,93.3483,19.737000000000002,0.0
204,2020-08-24,DEU,Germany,0.0,19.889,10.6082,0.216,0.0
205,2020-08-24,FRA,France,0.0,39.918,58.417100000000005,1.718,0.0
206,2020-08-24,GBR,United Kingdom,0.0,6.888,13.1152,1.482,0.0
207,2020-08-24,NZL,New Zealand,0.0,0.0,1.0414,0.0,0.0
208,2020-08-24,OWID_EUN,European Union,0.0,0.0,33.8868,2.5949999999999998,0.0
209,2020-08-24,USA,United States,0.0,209.026,87.1874,18.75,0.0
210,2020-08-31,DEU,Germany,0.0,19.097,10.3263,0.42,0.0
211,2020-08-31,FRA,France,0.0,46.333,77.67229999999999,1.95,0.0
212,2020-08-31,GBR,United Kingdom,0.0,7.629,22.994,1.2890000000000001,0.0
213,2020-08-31,NZL,New Zealand,0.0,0.0,0.8292999999999999,0.386,0.0
214,2020-08-31,OWID_EUN,European Union,0.0,0.0,38.8407,3.016,0.0
215,2020-08-31,USA,United States,0.0,191.858,87.2781,16.863,0.0
216,2020-09-07,DEU,Germany,0.0,19.277,11.7369,0.816,0.0
217,2020-09-07,FRA,France,0.0,62.599,95.0568,3.992,0.0
218,2020-09-07,GBR,United Kingdom,0.0,9.421,33.5274,1.718,0.0
219,2020-09-07,NZL,New Zealand,0.0,0.0,0.48210000000000003,0.0,0.0
220,2020-09-07,OWID_EUN,European Union,0.0,0.0,47.1588,3.69,0.0
221,2020-09-07,USA,United States,0.0,178.608,72.60669999999999,14.713000000000001,0.0
222,2020-09-14,DEU,Germany,0.0,20.573,14.735499999999998,0.984,0.0
223,2020-09-14,FRA,France,0.0,81.503,113.7008,6.638,0.0
224,2020-09-14,GBR,United Kingdom,0.0,13.597,38.2911,2.799,0.0
225,2020-09-14,NZL,New Zealand,0.0,0.0,0.34719999999999995,0.193,0.0
226,2020-09-14,OWID_EUN,European Union,0.0,0.0,57.391200000000005,4.8500000000000005,0.0
227,2020-09-14,USA,United States,0.0,166.023,83.0581,15.301,0.0
228,2020-09-21,DEU,Germany,0.0,24.852,15.669900000000002,1.319,0.0
229,2020-09-21,FRA,France,0.0,106.19,112.19680000000001,8.65,0.0
230,2020-09-21,GBR,United Kingdom,0.0,24.619,65.7587,3.941,0.0
231,2020-09-21,NZL,New Zealand,0.0,0.0,0.2508,0.0,0.0
232,2020-09-21,OWID_EUN,European Union,0.0,0.0,59.4657,5.794,0.0
233,2020-09-21,USA,United States,0.0,162.833,90.0926,14.116999999999999,0.0
234,2020-09-28,DEU,Germany,0.0,31.45,19.1268,1.451,0.0
235,2020-09-28,FRA,France,0.0,128.898,115.7712,8.681,0.0
236,2020-09-28,GBR,United Kingdom,0.0,35.432,109.7781,6.104,0.0
237,2020-09-28,NZL,New Zealand,0.0,0.0,0.405,0.0,0.0
238,2020-09-28,OWID_EUN,European Union,0.0,0.0,66.3937,6.465999999999999,0.0
239,2020-09-28,USA,United States,0.0,165.753,88.193,13.855,0.0
240,2020-10-05,DEU,Germany,0.0,41.238,31.360300000000002,2.963,0.0
241,2020-10-05,FRA,France,0.0,147.877,179.7386,10.677,0.0
242,2020-10-05,GBR,United Kingdom,0.0,45.43,163.7029,8.709,0.0
243,2020-10-05,NZL,New Zealand,0.0,0.0,0.32799999999999996,0.0,0.0
244,2020-10-05,OWID_EUN,European Union,0.0,0.0,100.8415,8.703,0.0
245,2020-10-05,USA,United States,0.0,178.651,98.8055,13.643,0.0
246,2020-10-12,DEU,Germany,0.0,55.836,50.4151,5.566,0.0
247,2020-10-12,FRA,France,0.0,179.538,259.6995,14.901,0.0
248,2020-10-12,GBR,United Kingdom,0.0,59.295,177.8698,13.481,0.0
249,2020-10-12,NZL,New Zealand,0.0,0.0,0.2894,0.0,0.0
250,2020-10-12,OWID_EUN,European Union,0.0,0.0,151.538,12.131,0.0
251,2020-10-12,USA,United States,0.0,195.185,114.5863,14.191,0.0
252,2020-10-19,DEU,Germany,0.0,87.778,89.7111,12.175,0.0
253,2020-10-19,FRA,France,0.0,240.439,404.3674,27.45,0.0
254,2020-10-19,GBR,United Kingdom,0.0,76.08,224.5052,21.554000000000002,0.0
255,2020-10-19,NZL,New Zealand,0.0,0.0,0.945,0.0,0.0
256,2020-10-19,OWID_EUN,European Union,0.0,0.0,234.6257,19.703,0.0
257,2020-10-19,USA,United States,0.0,217.721,132.8559,16.918,0.0
258,2020-10-26,DEU,Germany,0.0,143.181,133.1525,19.443,0.0
259,2020-10-26,FRA,France,0.0,327.85699999999997,514.5015999999999,48.803,0.0
260,2020-10-26,GBR,United Kingdom,0.0,98.476,227.9579,29.536,0.0
261,2020-10-26,NZL,New Zealand,0.0,0.0,0.4822,0.0,0.0
262,2020-10-26,OWID_EUN,European Union,0.0,0.0,303.02049999999997,31.843,0.0
263,2020-10-26,USA,United States,0.0,242.112,165.3593,18.02,0.0
264,2020-11-02,DEU,Germany,0.0,219.732,150.7644,22.91,0.0
265,2020-11-02,FRA,France,0.0,429.843,469.02650000000006,74.18,0.0
266,2020-11-02,GBR,United Kingdom,0.0,121.777,240.3533,37.891,0.0
267,2020-11-02,NZL,New Zealand,0.0,0.0,0.4436,0.0,0.0
268,2020-11-02,OWID_EUN,European Union,0.0,0.0,318.1949,45.57,0.0
269,2020-11-02,USA,United States,0.0,273.662,233.5554,21.297,0.0
270,2020-11-09,DEU,Germany,0.0,268.455,153.3672,30.419,0.0
271,2020-11-09,FRA,France,0.0,497.07399999999996,272.9974,84.903,0.0
272,2020-11-09,GBR,United Kingdom,0.0,135.538,259.6396,45.016,0.0
273,2020-11-09,NZL,New Zealand,0.0,0.0,0.3472,0.0,0.0
274,2020-11-09,OWID_EUN,European Union,0.0,0.0,283.7299,54.012,0.0
275,2020-11-09,USA,United States,0.0,321.814,297.0366,25.767,0.0
276,2020-11-16,DEU,Germany,0.0,300.613,154.0125,38.695,0.0
277,2020-11-16,FRA,France,0.0,482.016,177.8632,86.683,0.0
278,2020-11-16,GBR,United Kingdom,0.0,147.98,209.02870000000001,48.823,0.0
279,2020-11-16,NZL,New Zealand,0.0,0.0,0.5401,0.0,0.0
280,2020-11-16,OWID_EUN,European Union,0.0,0.0,251.7942,60.355,0.0
281,2020-11-16,USA,United States,0.0,385.362,347.478,31.984,0.0
282,2020-11-23,DEU,Germany,0.0,320.896,147.6817,43.193,0.0
283,2020-11-23,FRA,France,0.0,416.395,119.2651,72.401,0.0
284,2020-11-23,GBR,United Kingdom,0.0,149.52100000000002,157.4014,50.838,0.0
285,2020-11-23,NZL,New Zealand,0.0,0.0,0.463,0.0,0.0
286,2020-11-23,OWID_EUN,European Union,0.0,0.0,207.00459999999998,61.894,0.0
287,2020-11-23,USA,United States,0.0,435.524,343.6109,35.324,0.0
288,2020-11-30,DEU,Germany,0.0,335.312,153.8422,53.736,0.0
289,2020-11-30,FRA,France,0.0,353.016,110.4375,61.321,0.0
290,2020-11-30,GBR,United Kingdom,0.0,134.11599999999999,155.8164,48.69,0.0
291,2020-11-30,NZL,New Zealand,0.0,0.0,0.5015000000000001,0.0,0.0
292,2020-11-30,OWID_EUN,European Union,0.0,0.0,188.047,61.054,0.0
293,2020-11-30,USA,United States,0.0,476.228,378.6492,43.753,0.0
294,2020-12-07,DEU,Germany,0.0,366.188,187.37349999999998,69.114,0.0
295,2020-12-07,FRA,France,0.0,307.198,120.18889999999999,58.676,0.0
296,2020-12-07,GBR,United Kingdom,0.0,131.122,205.14030000000002,47.638,0.0
297,2020-12-07,NZL,New Zealand,0.0,0.0,0.34709999999999996,0.0,0.0
298,2020-12-07,OWID_EUN,European Union,0.0,0.0,194.8186,60.376999999999995,0.0
299,2020-12-07,USA,United States,0.00040831425766598047,507.824,434.0899,52.363,0.0
300,2020-12-14,DEU,Germany,0.0,407.497,209.4151,77.486,0.0
301,2020-12-14,FRA,France,0.0,289.50300000000004,143.7782,52.347,0.0
302,2020-12-14,GBR,United Kingdom,0.0,141.285,322.49350000000004,53.577,0.0
303,2020-12-14,NZL,New Zealand,0.0,0.0,0.38570000000000004,0.0,0.0
304,2020-12-14,OWID_EUN,European Union,0.0,0.0,207.64460000000003,60.43,2.6657970658917923e-05
305,2020-12-14,USA,United States,0.0035393147754163986,535.1800000000001,448.70629999999994,55.768,3.548974285531045
306,2020-12-21,DEU,Germany,0.0,449.216,166.5207,68.706,0.0
307,2020-12-21,FRA,France,0.0,275.848,129.8041,48.262,0.0
308,2020-12-21,GBR,United Kingdom,0.0,166.659,360.0546,62.613,0.0
309,2020-12-21,NZL,New Zealand,0.0,0.0,0.54,0.0,0.0
310,2020-12-21,OWID_EUN,European Union,1.5867839677927335e-07,0.0,174.9565,51.566,0.0032922593763763637
311,2020-12-21,USA,United States,0.00668023915815301,553.25,402.058,54.193,5.52137454573867
312,2020-12-28,DEU,Germany,0.0,475.26800000000003,147.47899999999998,68.898,3.342599673934843
313,2020-12-28,FRA,France,5.266583946188151e-06,273.443,137.6337,45.105,0.05902997950245528
314,2020-12-28,GBR,United Kingdom,0.0,219.407,559.5081,77.487,0.0
315,2020-12-28,NZL,New Zealand,0.0,0.0,0.7135,0.0,0.0
316,2020-12-28,OWID_EUN,European Union,2.6531027941494507e-05,0.0,187.49020000000002,52.480999999999995,1.3352377698712161
317,2020-12-28,USA,United States,0.01419357622459379,572.991,408.22839999999997,58.086,9.313007600204246
318,2021-01-04,DEU,Germany,0.0,464.185,174.5295,69.078,4.513634666925113
319,2021-01-04,FRA,France,0.00010027575833542241,269.551,189.1836,53.059,1.5695810537802486
320,2021-01-04,GBR,United Kingdom,0.08282480241896104,303.1,626.1023,98.134,0.0
321,2021-01-04,NZL,New Zealand,0.0,0.0,0.7714000000000001,0.0,0.0
322,2021-01-04,OWID_EUN,European Union,0.00014782479443957103,0.0,235.61829999999998,54.291,4.776481879767608
323,2021-01-04,USA,United States,0.19984953799079164,587.707,492.8172,63.546,16.924128520129198
324,2021-01-11,DEU,Germany,0.0038557965669256756,430.49199999999996,142.6523,61.125,6.510100055367745
325,2021-01-11,FRA,France,0.0006688561611658953,280.00600000000003,183.8902,53.445,5.179832775426541
326,2021-01-11,GBR,United Kingdom,0.6499488770324737,380.262,470.8725,130.265,27.20870908112076
327,2021-01-11,NZL,New Zealand,0.0,0.0,0.7714000000000001,0.0,0.0
328,2021-01-11,OWID_EUN,European Union,0.0016469230801720782,0.0,217.7778,54.52,6.881579627292824
329,2021-01-11,USA,United States,0.6432944043955354,589.19,469.998,68.912,21.36792419811725
330,2021-01-18,DEU,Germany,0.1905958180697343,403.313,114.6134,49.262,8.149170011601317
331,2021-01-18,FRA,France,0.002238508840487812,296.152,201.386,52.827,10.074145075428016
332,2021-01-18,GBR,United Kingdom,0.6892374324235492,414.685,364.6065,144.024,37.46535125364737
333,2021-01-18,NZL,New Zealand,0.0,0.0,0.5206999999999999,0.0,0.0
334,2021-01-18,OWID_EUN,European Union,0.08103724764925103,0.0,202.8812,54.778999999999996,7.825547254315327
335,2021-01-18,USA,United States,1.0839349554720317,548.113,374.1942,66.497,25.045374106635936
336,2021-01-25,DEU,Germany,0.5523402022327772,374.272,93.7653,37.208,7.745174993738743
337,2021-01-25,FRA,France,0.04464757073548898,319.57,205.21570000000003,48.881,8.703124769586951
338,2021-01-25,GBR,United Kingdom,0.7125056748042955,402.51,254.5959,126.976,40.68391775571755
339,2021-01-25,NZL,New Zealand,0.0,0.0,0.2893,0.0,0.0
340,2021-01-25,OWID_EUN,European Union,0.3829362582428274,0.0,185.26369999999997,51.068000000000005,8.975292199849129
341,2021-01-25,USA,United States,1.8786264505329164,491.801,315.8904,65.768,30.67004172894856
342,2021-02-01,DEU,Germany,1.0613094615510836,347.296,77.4813,27.204,10.160952689845633
343,2021-02-01,FRA,France,0.289488530433482,334.848,198.7586,47.488,8.831846401132527
344,2021-02-01,GBR,United Kingdom,0.7486977089119833,366.486,193.9016,98.578,44.675730039649864
345,2021-02-01,NZL,New Zealand,0.0,0.0,0.32789999999999997,0.0,0.0
346,2021-02-01,OWID_EUN,European Union,0.9213502113234934,0.0,155.7723,45.101,9.982430331343046
347,2021-02-01,USA,United States,3.0497253303898737,431.186,253.4069,59.417,34.76603803337218
348,2021-02-08,DEU,Germany,1.582756340388117,307.977,60.965700000000005,20.151,10.490340391681212
349,2021-02-08,FRA,France,0.8160883606388155,342.294,170.88309999999998,44.749,11.76405703921077
350,2021-02-08,GBR,United Kingdom,0.783536483017808,314.003,139.2615,74.953,44.93025930670867
351,2021-02-08,NZL,New Zealand,0.0,0.0,0.3087,0.0,0.0
352,2021-02-08,OWID_EUN,European Union,1.4750004957985845,0.0,132.974,38.684,10.401857955700242
353,2021-02-08,USA,United States,4.612257128987042,369.011,198.224,58.641999999999996,38.38073110888669
354,2021-02-15,DEU,Germany,2.031907633332561,269.57,62.7673,17.728,10.988925971310488
355,2021-02-15,FRA,France,1.5565258241677218,347.633,181.89249999999998,38.931,12.241369648887382
