,week_start,indicator,European Union,France,Germany,New Zealand,United Kingdom,United States
487,2021-11-08,New cases per ten million,268.87420000000003,102.6837,325.2663,23.4894,394.1671,164.7049
488,2021-11-08,Deaths per million,25.68,3.605,27.42,0.193,16.576,22.256
491,2021-11-15,ICU patients per million,0.0,135.548,288.414,0.0,96.224,242.901
492,2021-11-15,New cases per ten million,343.0348,185.2193,421.8,25.1094,437.5095,200.0875
493,2021-11-15,Deaths per million,29.413,4.905,32.506,1.351,15.152999999999999,30.377
496,2021-11-22,ICU patients per million,0.0,157.123,351.698,0.0,95.617,260.582
497,2021-11-22,New cases per ten million,396.8512,302.07669999999996,483.8057,24.396,445.9292,175.1144
498,2021-11-22,Deaths per million,31.021,7.025,37.1,0.579,13.923,16.82
501,2021-11-29,ICU patients per million,0.0,199.873,397.759,0.0,93.531,284.804
502,2021-11-29,New cases per ten million,410.5551,446.87309999999997,465.46090000000004,17.1252,497.4142,222.004
503,2021-11-29,Deaths per million,31.877,9.578,34.365,0.193,13.937999999999999,24.548000000000002
506,2021-12-06,ICU patients per million,0.0,251.692,413.062,0.0,92.55,311.201
507,2021-12-06,New cases per ten million,387.725,521.8979,405.432,12.6706,539.336,246.8207
508,2021-12-06,Deaths per million,31.341,13.973,30.143,0.579,13.923,25.38
511,2021-12-13,ICU patients per million,0.0,294.766,400.577,0.0,91.113,329.722
512,2021-12-13,New cases per ten million,391.8884,558.0548,328.0599,9.874,898.1967,265.7806
513,2021-12-13,Deaths per million,29.992,15.984,23.918,0.386,12.976,26.796
516,2021-12-20,ICU patients per million,0.0,329.008,369.739,0.0,87.602,336.935
517,2021-12-20,New cases per ten million,480.924,804.2196,232.49650000000003,7.7333,1365.3541,418.9954
518,2021-12-20,Deaths per million,25.994999999999997,17.903,15.437,0.193,12.665000000000001,32.519999999999996
521,2021-12-27,ICU patients per million,0.0,359.798,332.422,0.0,89.885,375.973
522,2021-12-27,New cases per ten million,878.3388,1765.0991999999999,250.3255,7.772,1913.9258,801.6907
523,2021-12-27,Deaths per million,25.872999999999998,20.348,12.343,0.193,14.59,27.035
526,2022-01-03,ICU patients per million,0.0,387.183,293.14,0.0,88.834,457.696
527,2022-01-03,New cases per ten million,1259.3345,2671.0616999999997,405.28090000000003,8.2155,1955.7885,1384.2853
528,2022-01-03,Deaths per million,24.067999999999998,22.963,10.435,0.0,20.116,34.634
531,2022-01-10,ICU patients per million,0.0,403.993,249.64600000000002,0.0,79.234,525.755
532,2022-01-10,New cases per ten million,1481.022,3035.7643,583.0934,7.559900000000001,1071.8062,1670.4411
533,2022-01-10,Deaths per million,26.692999999999998,23.195,8.312,0.193,24.398,42.507999999999996
536,2022-01-17,ICU patients per million,0.0,394.998,211.922,0.0,68.48,539.242
537,2022-01-17,New cases per ten million,1830.8621999999998,3740.0112,955.7593,9.642800000000001,1081.6821,1490.7004
538,2022-01-17,Deaths per million,27.933,25.655,10.399,0.0,24.442,48.207
541,2022-01-24,ICU patients per million,0.0,381.255,194.482,0.0,57.251,505.674
542,2022-01-24,New cases per ten million,1969.8167999999998,3604.3566,1336.6368,15.2354,1056.9845,1120.1228999999998
543,2022-01-24,Deaths per million,29.195999999999998,29.91,13.398,0.0,21.951999999999998,54.401
546,2022-01-31,ICU patients per million,0.0,377.436,193.008,0.0,49.578,438.442
547,2022-01-31,New cases per ten million,1692.1531,2642.2361,1550.6087,30.2974,871.7957,646.9925
548,2022-01-31,Deaths per million,32.309,30.885,18.04,0.193,19.611,55.141999999999996
551,2022-02-07,ICU patients per million,0.0,355.331,201.498,0.0,43.476,350.391
552,2022-02-07,New cases per ten million,1282.3788,1483.35,1571.1257,68.9451,622.4242,361.2617
553,2022-02-07,Deaths per million,32.688,30.761,20.451,0.0,15.361,51.879999999999995
556,2022-02-14,ICU patients per million,0.0,317.387,205.889,0.0,36.039,259.647
557,2022-02-14,New cases per ten million,954.9818,875.7180000000001,1431.2982,226.1013,468.1751,209.334
558,2022-02-14,Deaths per million,31.512999999999998,27.001,21.423,0.0,14.012,45.44
561,2022-02-21,ICU patients per million,0.0,275.418,195.249,0.0,30.01,187.886
562,2022-02-21,New cases per ten million,761.6080999999999,608.958,1311.1372,1269.7268,372.7373,135.4673
563,2022-02-21,Deaths per million,26.592,20.595,19.731,0.579,12.487,38.565
566,2022-02-28,ICU patients per million,0.0,231.975,182.776,0.0,27.953,133.03199999999998
567,2022-02-28,New cases per ten million,743.8065,538.9172,1360.2149,2715.1234999999997,410.67310000000003,98.2911
568,2022-02-28,Deaths per million,22.903,16.928,19.264,1.7360000000000002,11.791,28.608
571,2022-03-07,ICU patients per million,0.0,200.582,179.64600000000002,0.0,27.049,92.67
572,2022-03-07,New cases per ten million,857.001,648.6924,1695.8723000000002,2645.1755000000003,648.0431,69.2695
573,2022-03-07,Deaths per million,19.392,12.688,21.327,7.136,11.525,25.441
576,2022-03-14,ICU patients per million,0.0,176.84,191.136,0.0,29.299,68.10600000000001
577,2022-03-14,New cases per ten million,942.7140999999999,907.2546,1898.1732,2311.5009,860.9941,61.7044
578,2022-03-14,Deaths per million,18.057000000000002,12.255,23.198,11.764,14.073,16.796
581,2022-03-21,ICU patients per million,0.0,158.95,196.27100000000002,0.0,33.61,51.427
582,2022-03-21,New cases per ten million,965.9363000000001,1318.3313,1905.8343,2174.5172000000002,898.2101,57.1903
583,2022-03-21,Deaths per million,17.119,11.249,22.562,13.115,17.419,14.753
586,2022-03-28,ICU patients per million,0.0,158.775,192.72,0.0,36.839,40.373
587,2022-03-28,New cases per ten million,840.5532000000001,1484.4625,1553.4695,1787.2485,709.0484,57.4845
588,2022-03-28,Deaths per million,15.688,12.394,18.424,25.457,18.842,12.333
591,2022-04-04,ICU patients per million,0.0,160.514,174.656,0.0,37.431,34.618
592,2022-04-04,New cases per ten million,685.3457999999999,1436.5179,1181.0026,1373.9639,442.9724,59.4732
593,2022-04-04,Deaths per million,14.219000000000001,12.193,15.497,20.442,21.109,10.248999999999999
596,2022-04-11,ICU patients per million,0.0,168.832,154.361,0.0,36.263,31.284
597,2022-04-11,New cases per ten million,564.5282,1272.5994,934.3282999999999,1073.0357,310.9469,73.2919
598,2022-04-11,Deaths per million,12.509,13.183,11.815,18.322,19.849,9.232
601,2022-04-18,ICU patients per million,0.0,171.029,140.88,0.0,34.41,30.311
602,2022-04-18,New cases per ten million,477.7948,834.2707,877.4144,1124.8168,217.28529999999998,88.8945
603,2022-04-18,Deaths per million,11.298,13.756,9.692,15.429,16.826999999999998,7.221
606,2022-04-25,ICU patients per million,0.0,166.974,120.152,0.0,31.994999999999997,32.647
607,2022-04-25,New cases per ten million,398.92470000000003,582.5926999999999,715.9867,1020.5024000000001,139.6378,111.9008
608,2022-04-25,Deaths per million,10.02,13.416,8.132,13.306000000000001,13.392,6.6259999999999994
611,2022-05-02,ICU patients per million,0.0,149.367,99.256,0.0,26.427,35.627
612,2022-05-02,New cases per ten million,321.48439999999994,409.9363,565.4802999999999,1013.2319,108.8153,137.6505
613,2022-05-02,Deaths per million,8.959,11.59,6.489,19.093,10.533,7.808
616,2022-05-09,ICU patients per million,0.0,133.085,84.443,0.0,20.649,39.021
617,2022-05-09,New cases per ten million,297.1111,335.33389999999997,490.27920000000006,1121.5769,89.3778,178.82729999999998
618,2022-05-09,Deaths per million,7.82,9.501,5.014,22.565,8.769,5.811
621,2022-05-16,ICU patients per million,0.0,116.453,73.288,0.0,19.583,47.126
622,2022-05-16,New cases per ten million,238.53820000000002,251.0405,350.8523,961.2,77.1381,217.12
623,2022-05-16,Deaths per million,6.83,7.211,3.958,16.972,6.5329999999999995,6.152
626,2022-05-23,ICU patients per million,0.0,107.384,59.721000000000004,0.0,0.0,50.519
627,2022-05-23,New cases per ten million,177.36229999999998,175.3998,224.4925,928.5500999999999,62.8998,218.9602
628,2022-05-23,Deaths per million,5.407,4.642,2.555,18.322,5.126,7.772
631,2022-05-30,ICU patients per million,0.0,96.543,54.432,0.0,0.0,54.345
632,2022-05-30,New cases per ten million,190.50979999999998,229.1207,294.0404,888.7065,66.2594,199.7182
633,2022-05-30,Deaths per million,4.823,5.091,2.675,14.271,3.925,5.85
636,2022-06-06,ICU patients per million,0.0,91.251,52.191,0.0,0.0,58.379
637,2022-06-06,New cases per ten million,221.35500000000002,299.8965,397.5466,921.1057000000001,110.1366,219.05579999999998
638,2022-06-06,Deaths per million,4.703,3.667,3.419,15.621,3.792,6.7509999999999994
641,2022-06-13,ICU patients per million,0.0,87.24,57.285000000000004,0.0,0.0,61.483999999999995
642,2022-06-13,New cases per ten million,289.1102,460.9973,496.33180000000004,543.3642,142.4463,198.7219
643,2022-06-13,Deaths per million,4.868,4.1,4.822,13.5,4.429,6.51
646,2022-06-20,ICU patients per million,0.0,86.21,66.656,0.0,0.0,64.191
647,2022-06-20,New cases per ten million,410.5812,706.6823999999999,688.7683,839.7218,192.96710000000002,209.77190000000002
648,2022-06-20,Deaths per million,5.337,4.503,6.789,16.198,5.6129999999999995,7.393
651,2022-06-27,ICU patients per million,0.0,95.66,80.821,0.0,0.0,69.862
652,2022-06-27,New cases per ten million,544.9875,1132.0194999999999,747.004,697.7432,237.3227,228.7303
653,2022-06-27,Deaths per million,6.016,4.085,7.317,17.55,7.599,7.811
656,2022-07-04,ICU patients per million,0.0,105.526,89.359,0.0,0.0,79.467
657,2022-07-04,New cases per ten million,627.7414,1398.7563,754.8881,1357.6485,289.7734,219.8613
658,2022-07-04,Deaths per million,7.567,6.561,8.42,22.372,10.028,7.254
661,2022-07-11,ICU patients per million,0.0,121.99600000000001,103.011,0.0,0.0,86.194
662,2022-07-11,New cases per ten million,599.2637,1058.0531,809.8012,1343.686,246.5287,262.5645
663,2022-07-11,Deaths per million,9.966,9.052,11.515,30.087,12.901,8.232
666,2022-07-18,ICU patients per million,0.0,133.5,115.414,0.0,0.0,92.576
667,2022-07-18,New cases per ten million,496.5919,808.1747,752.2852,1179.6643,163.4539,268.6142
668,2022-07-18,Deaths per million,11.266,11.311,13.542,30.278,15.774000000000001,9.42
671,2022-07-25,ICU patients per million,0.0,127.512,128.583,0.0,0.0,96.99
672,2022-07-25,New cases per ten million,380.7615,509.745,594.6143,995.1807,110.5247,280.22810000000004
673,2022-07-25,Deaths per million,11.668,9.238,12.451,29.7,12.620000000000001,9.201
676,2022-08-01,ICU patients per million,0.0,119.769,116.517,0.0,0.0,95.649
677,2022-08-01,New cases per ten million,284.28499999999997,328.3399,435.3325,752.1664000000001,84.36370000000001,232.95149999999998
678,2022-08-01,Deaths per million,10.385,8.185,9.488,0.0,9.6,9.639
681,2022-08-08,ICU patients per million,0.0,108.755,101.667,0.0,0.0,93.107
682,2022-08-08,New cases per ten million,221.5046,233.93760000000003,357.7937,592.0596,67.5822,207.4014
683,2022-08-08,Deaths per million,9.177,8.015,7.473,0.0,9.421,10.175
686,2022-08-15,ICU patients per million,0.0,101.205,89.781,0.0,0.0,90.182
687,2022-08-15,New cases per ten million,184.63129999999998,184.46890000000002,315.8564,514.5711,52.5101,190.6427
688,2022-08-15,Deaths per million,7.691000000000001,6.391,7.113,0.0,7.837,9.551
691,2022-08-22,ICU patients per million,0.0,88.774,75.758,0.0,0.0,85.59100000000001
692,2022-08-22,New cases per ten million,169.4581,181.1003,273.45500000000004,355.0623,43.5351,180.4161
693,2022-08-22,Deaths per million,6.579,4.905,4.762,0.0,6.281,9.52
696,2022-08-29,ICU patients per million,0.0,84.61500000000001,66.116,0.0,0.0,79.867
697,2022-08-29,New cases per ten million,150.0521,164.9026,242.0024,252.1365,43.271300000000004,171.55800000000002
698,2022-08-29,Deaths per million,5.7330000000000005,4.673,4.21,0.0,5.659,9.134
701,2022-09-05,ICU patients per million,0.0,78.982,60.2,0.0,0.0,76.883
702,2022-09-05,New cases per ten million,145.6584,173.8819,244.79360000000003,207.433,42.8729,132.8769
703,2022-09-05,Deaths per million,4.677,4.07,3.802,0.0,4.801,7.76
706,2022-09-12,ICU patients per million,0.0,75.206,58.438,0.0,0.0,69.757
707,2022-09-12,New cases per ten million,176.4689,292.2217,274.5753,61.2888,47.1226,120.2817
708,2022-09-12,Deaths per million,4.582,3.126,4.246,0.0,4.504,8.569
711,2022-09-19,ICU patients per million,0.0,72.789,59.432,0.0,0.0,65.068
712,2022-09-19,New cases per ten million,209.7965,357.0231,343.69140000000004,139.2208,63.2612,108.9969
713,2022-09-19,Deaths per million,4.682,3.358,6.237,0.0,4.742,7.997
716,2022-09-26,ICU patients per million,0.0,81.444,74.979,0.0,0.0,60.25
717,2022-09-26,New cases per ten million,296.5715,479.8549,550.3813,378.301,79.622,94.9582
718,2022-09-26,Deaths per million,5.803,3.358,10.555,0.0,6.176,8.816
721,2022-10-03,ICU patients per million,0.0,90.204,110.652,0.0,0.0,56.912
722,2022-10-03,New cases per ten million,358.32489999999996,596.4631999999999,712.5754,0.0,99.9809,82.9419
723,2022-10-03,Deaths per million,7.647,4.859,15.401,0.0,9.124,7.566
726,2022-10-10,ICU patients per million,0.0,98.949,140.266,0.0,0.0,54.493
727,2022-10-10,New cases per ten million,366.23799999999994,606.6741,773.6443,483.03960000000006,89.5303,74.2796
728,2022-10-10,Deaths per million,8.918,6.406,18.712,0.0,11.08,6.724
731,2022-10-17,ICU patients per million,0.0,108.196,150.126,0.0,0.0,55.806
732,2022-10-17,New cases per ten million,313.58910000000003,539.4774,653.2529999999999,279.42510000000004,78.4029,83.8731
733,2022-10-17,Deaths per million,9.248,8.077,17.716,0.0,11.525,8.736
736,2022-10-24,ICU patients per million,0.0,107.648,141.287,0.0,0.0,54.56
737,2022-10-24,New cases per ten million,224.3807,344.8811,448.4871,791.5277,55.7969,75.42530000000001
738,2022-10-24,Deaths per million,8.066,7.659,12.582,4.628,10.71,9.108
741,2022-10-31,ICU patients per million,0.0,107.708,123.775,0.0,0.0,54.234
742,2022-10-31,New cases per ten million,164.46859999999998,237.69920000000002,292.1656,0.0,41.9664,79.0163
743,2022-10-31,Deaths per million,6.532,6.886,8.372,0.0,9.243,7.281
746,2022-11-07,ICU patients per million,0.0,99.981,100.17999999999999,0.0,0.0,55.453
747,2022-11-07,New cases per ten million,154.1819,233.7349,242.3118,379.49670000000003,35.1894,83.62559999999999
748,2022-11-07,Deaths per million,5.9879999999999995,6.143,7.677,12.15,6.962,6.769
751,2022-11-14,ICU patients per million,0.0,99.952,82.188,0.0,0.0,57.964
752,2022-11-14,New cases per ten million,171.19580000000002,343.03049999999996,203.5112,422.0594,32.3988,81.2865
753,2022-11-14,Deaths per million,6.034,7.257,6.633,0.0,5.88,6.509
756,2022-11-21,ICU patients per million,0.0,102.503,76.153,0.0,0.0,61.805
757,2022-11-21,New cases per ten million,187.9489,454.3514,204.6172,477.4854,33.9377,88.7319
758,2022-11-21,Deaths per million,6.106999999999999,7.04,7.677,5.786,5.703,7.742
761,2022-11-28,ICU patients per million,0.0,112.648,76.585,0.0,0.0,72.042
762,2022-11-28,New cases per ten million,214.2072,594.2907,221.6929,614.4113,38.669,89.4496
763,2022-11-28,Deaths per million,6.8229999999999995,7.505,9.596,4.436,5.496,5.212
766,2022-12-05,ICU patients per million,0.0,120.036,82.909,0.0,0.0,78.234
767,2022-12-05,New cases per ten million,223.4538,664.8638,239.30120000000002,722.8720000000001,45.9909,136.6352
768,2022-12-05,Deaths per million,7.702999999999999,8.804,11.527,4.243,6.666,8.972
771,2022-12-12,ICU patients per million,0.0,138.573,92.202,0.0,0.0,85.212
772,2022-12-12,New cases per ten million,215.68619999999999,605.3109000000001,267.4264,766.0518,60.746,131.84369999999998
773,2022-12-12,Deaths per million,9.053,11.156,13.662,5.978,7.718,7.839
776,2022-12-19,ICU patients per million,0.0,148.88,103.49,0.0,0.0,88.369
777,2022-12-19,New cases per ten million,185.0349,463.96049999999997,276.774,0.0,72.0483,150.16969999999998
778,2022-12-19,Deaths per million,10.199,12.487,15.449,0.0,11.244,8.966
781,2022-12-26,ICU patients per million,0.0,151.887,115.259,0.0,0.0,97.381
782,2022-12-26,New cases per ten million,129.1058,234.74380000000002,181.8008,568.3193,61.6868,115.93699999999998
783,2022-12-26,Deaths per million,9.353,12.503,11.635,8.293,14.368,7.331
786,2023-01-02,ICU patients per million,0.0,141.921,111.491,0.0,0.0,106.137
787,2023-01-02,New cases per ten million,99.173,125.07070000000002,156.3107,0.0,49.4587,139.4408
788,2023-01-02,Deaths per million,8.626999999999999,11.992,9.944,11.957,14.043,8.171
791,2023-01-09,ICU patients per million,0.0,127.247,93.595,0.0,0.0,99.604
792,2023-01-09,New cases per ten million,69.697,67.3469,106.85999999999999,775.9645,28.9266,132.458
793,2023-01-09,Deaths per million,7.057,7.83,6.201,8.486,12.072,13.027
796,2023-01-16,ICU patients per million,0.0,114.108,68.622,0.0,0.0,86.59
797,2023-01-16,New cases per ten million,48.4593,49.0402,75.4074,333.8483,20.9379,91.05359999999999
798,2023-01-16,Deaths per million,5.452999999999999,6.158,4.054,5.978,10.029,10.831
801,2023-01-23,ICU patients per million,0.0,97.076,53.364,0.0,0.0,74.657
802,2023-01-23,New cases per ten million,45.5988,46.4189,87.9191,236.7853,24.4426,87.164
803,2023-01-23,Deaths per million,4.182,5.044,3.97,1.736,7.806,11.064
806,2023-01-30,ICU patients per million,0.0,85.63300000000001,51.255,0.0,0.0,67.125
807,2023-01-30,New cases per ten million,48.2696,40.4276,101.04729999999999,181.03140000000002,31.388399999999997,84.36609999999999
808,2023-01-30,Deaths per million,4.037,4.023,4.126,4.821,7.244,10.204
811,2023-02-06,ICU patients per million,0.0,80.10300000000001,56.841,0.0,0.0,62.277
812,2023-02-06,New cases per ten million,48.7282,34.885000000000005,103.8685,146.6456,34.4012,82.24539999999999
813,2023-02-06,Deaths per million,3.539,2.646,5.458,2.121,6.978,10.169
816,2023-02-13,ICU patients per million,0.0,77.315,68.119,0.0,0.0,61.682
817,2023-02-13,New cases per ten million,55.5603,37.3159,117.36859999999999,140.24290000000002,41.4108,75.1935
818,2023-02-13,Deaths per million,3.949,2.785,7.209,4.05,7.259,8.445
821,2023-02-20,ICU patients per million,0.0,75.414,84.09700000000001,0.0,0.0,58.933
822,2023-02-20,New cases per ten million,63.16929999999999,40.6551,136.0612,136.9258,41.2434,78.9761
823,2023-02-20,Deaths per million,3.768,2.63,7.185,1.543,7.643,6.982
826,2023-02-27,ICU patients per million,0.0,74.219,85.907,0.0,0.0,54.38
827,2023-02-27,New cases per ten million,56.6756,39.175799999999995,103.53979999999999,151.0427,40.347300000000004,67.34700000000001
828,2023-02-27,Deaths per million,3.702,2.352,6.417,1.157,8.576,6.494
831,2023-03-06,ICU patients per million,0.0,76.579,92.287,0.0,0.0,50.488
832,2023-03-06,New cases per ten million,49.556200000000004,55.474000000000004,52.486599999999996,193.4126,43.5765,50.4281
833,2023-03-06,Deaths per million,3.548,1.934,6.861,2.314,9.746,5.578
836,2023-03-13,ICU patients per million,0.0,78.024,100.998,0.0,0.0,45.514
837,2023-03-13,New cases per ten million,48.569500000000005,71.65,48.3472,195.4182,49.385999999999996,37.4274
838,2023-03-13,Deaths per million,4.1450000000000005,2.522,7.509,5.014,10.517,5.146
841,2023-03-20,ICU patients per million,0.0,77.596,101.69200000000001,0.0,0.0,44.123
842,2023-03-20,New cases per ten million,45.2196,84.4745,39.1496,191.3683,46.8812,45.218
843,2023-03-20,Deaths per million,3.7809999999999997,2.6,6.537,14.657,10.873,6.16
846,2023-03-27,ICU patients per million,0.0,53.425,90.991,0.0,0.0,40.743
847,2023-03-27,New cases per ten million,38.8318,88.6353,27.170499999999997,189.7483,37.2884,52.1322
848,2023-03-27,Deaths per million,3.632,3.249,5.17,4.821,10.221,5.161
851,2023-04-03,ICU patients per million,0.0,0.0,74.824,0.0,0.0,35.606
852,2023-04-03,New cases per ten million,32.308099999999996,85.6365,17.6071,205.4466,25.0235,30.5868
853,2023-04-03,Deaths per million,2.9610000000000003,2.909,3.335,0.0,8.902,5.111
856,2023-04-10,ICU patients per million,0.0,0.0,62.936,0.0,0.0,33.155
857,2023-04-10,New cases per ten million,31.143,81.24980000000001,15.6471,204.3281,22.0947,30.7597
858,2023-04-10,Deaths per million,2.851,2.507,3.646,5.593,8.132,3.813
861,2023-04-17,ICU patients per million,0.0,0.0,54.361,0.0,0.0,29.768
862,2023-04-17,New cases per ten million,30.765100000000004,75.16720000000001,13.755600000000001,246.83290000000002,18.994500000000002,29.1073
863,2023-04-17,Deaths per million,3.141,4.333,2.771,0.0,7.6579999999999995,3.541
866,2023-04-24,ICU patients per million,0.0,0.0,46.251,0.0,0.0,26.021
867,2023-04-24,New cases per ten million,25.6081,62.579499999999996,11.0268,212.1193,17.0229,25.5651
868,2023-04-24,Deaths per million,2.864,3.853,1.943,3.857,5.985,3.092
871,2023-05-01,ICU patients per million,0.0,0.0,38.948,0.0,0.0,23.595
872,2023-05-01,New cases per ten million,21.6722,48.4816,8.828100000000001,186.79770000000002,16.4422,22.8103
873,2023-05-01,Deaths per million,2.654,3.698,2.003,10.8,5.199,3.388
876,2023-05-08,ICU patients per million,0.0,0.0,30.382,0.0,0.0,22.254
877,2023-05-08,New cases per ten million,18.3134,37.5697,8.0461,214.125,13.2945,27.568099999999998
878,2023-05-08,Deaths per million,2.162,2.476,1.307,0.0,4.725,5.744
881,2023-05-15,ICU patients per million,0.0,0.0,26.302,0.0,0.0,21.16
882,2023-05-15,New cases per ten million,15.7824,31.952800000000003,5.2284999999999995,205.04160000000002,11.0979,0.0
883,2023-05-15,Deaths per million,1.966,2.043,1.02,19.478,4.059,0.0
886,2023-05-22,ICU patients per million,0.0,0.0,21.376,0.0,0.0,18.94
887,2023-05-22,New cases per ten million,16.549500000000002,39.0396,5.1242,244.88510000000002,10.0107,0.0
888,2023-05-22,Deaths per million,1.78,2.306,0.864,9.45,3.496,0.0
891,2023-05-29,ICU patients per million,0.0,0.0,17.429,0.0,0.0,18.0
892,2023-05-29,New cases per ten million,12.139800000000001,28.8024,3.3189,219.5442,7.7901,0.0
893,2023-05-29,Deaths per million,1.5419999999999998,1.733,0.66,0.0,2.9050000000000002,0.0
896,2023-06-05,ICU patients per million,0.0,0.0,14.849,0.0,0.0,16.994
897,2023-06-05,New cases per ten million,9.8976,24.1665,2.8691,0.0,7.248,0.0
898,2023-06-05,Deaths per million,1.35,1.64,0.384,18.514,2.49,0.0
901,2023-06-12,ICU patients per million,0.0,0.0,13.613,0.0,0.0,15.242
902,2023-06-12,New cases per ten million,7.5652,17.3303,2.4157,375.0225,5.3607,0.0
903,2023-06-12,Deaths per million,0.996,1.037,0.36,0.0,2.7560000000000002,0.0
906,2023-06-19,ICU patients per million,0.0,0.0,10.397,0.0,0.0,14.567
907,2023-06-19,New cases per ten million,5.882399999999999,12.3509,1.8328,145.1028,4.1536,0.0
908,2023-06-19,Deaths per million,0.78,0.959,0.18,7.521,1.673,0.0
911,2023-06-26,ICU patients per million,0.0,0.0,1.199,0.0,0.0,14.321
912,2023-06-26,New cases per ten million,2.8847,0.0,1.3182,0.0,3.247,0.0
913,2023-06-26,Deaths per million,0.45699999999999996,0.0,0.096,0.0,1.5110000000000001,0.0
916,2023-07-03,ICU patients per million,0.0,0.0,0.0,0.0,0.0,14.133
917,2023-07-03,New cases per ten million,1.9127,0.0,0.0,231.01889999999997,3.638,0.0
918,2023-07-03,Deaths per million,0.353,0.0,0.0,11.764,1.097,0.0
921,2023-07-10,ICU patients per million,0.0,0.0,0.0,0.0,0.0,14.647
922,2023-07-10,New cases per ten million,1.9727000000000001,0.0,0.0,88.8861,4.6142,0.0
923,2023-07-10,Deaths per million,0.33299999999999996,0.0,0.0,4.05,0.9339999999999999,0.0
926,2023-07-17,ICU patients per million,0.0,0.0,0.0,0.0,0.0,16.55
927,2023-07-17,New cases per ten million,2.1627,0.0,0.0,72.1464,5.3579,0.0
928,2023-07-17,Deaths per million,0.3,0.0,0.0,2.507,0.949,0.0
931,2023-07-24,ICU patients per million,0.0,0.0,0.0,0.0,0.0,18.094
932,2023-07-24,New cases per ten million,2.6769,0.0,0.0,60.0545,6.928100000000001,0.0
933,2023-07-24,Deaths per million,0.29700000000000004,0.0,0.0,3.086,1.2,0.0
936,2023-07-31,ICU patients per million,0.0,0.0,0.0,0.0,0.0,20.355
937,2023-07-31,New cases per ten million,3.5739,0.0,0.0,59.37949999999999,9.3454,0.0
938,2023-07-31,Deaths per million,0.37,0.0,0.0,7.907,1.4969999999999999,0.0
941,2023-08-07,ICU patients per million,0.0,0.0,0.0,0.0,0.0,22.855
942,2023-08-07,New cases per ten million,4.0827,0.0,0.0,74.6149,11.5021,0.0
943,2023-08-07,Deaths per million,0.34299999999999997,0.0,0.0,3.857,2.031,0.0
946,2023-08-14,ICU patients per million,0.0,0.0,0.0,0.0,0.0,28.576999999999998
947,2023-08-14,New cases per ten million,5.1312999999999995,0.0,0.0,87.3047,12.6427,0.0
948,2023-08-14,Deaths per million,0.45399999999999996,0.0,0.0,0.0,2.902,0.0
951,2023-08-21,ICU patients per million,0.0,0.0,0.0,0.0,0.0,33.436
952,2023-08-21,New cases per ten million,7.3660000000000005,0.0,0.0,63.3909,13.270900000000001,0.0
953,2023-08-21,Deaths per million,0.498,0.0,0.0,6.557,0.0,0.0
956,2023-08-28,ICU patients per million,0.0,0.0,0.0,0.0,0.0,38.396
957,2023-08-28,New cases per ten million,6.1582,0.0,0.0,54.0761,15.4512,0.0
958,2023-08-28,Deaths per million,0.355,0.0,0.0,0.0,0.0,0.0
961,2023-09-04,ICU patients per million,0.0,0.0,0.0,0.0,0.0,40.444
962,2023-09-04,New cases per ten million,8.804400000000001,0.0,0.0,55.9082,20.2995,0.0
963,2023-09-04,Deaths per million,0.40800000000000003,0.0,0.0,2.121,0.0,0.0
966,2023-09-11,ICU patients per million,0.0,0.0,0.0,0.0,0.0,24.274
967,2023-09-11,New cases per ten million,5.3617,0.0,0.0,53.3625,8.627,0.0
968,2023-09-11,Deaths per million,0.27899999999999997,0.0,0.0,2.893,0.0,0.0
971,2023-09-18,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
972,2023-09-18,New cases per ten million,0.0,0.0,0.0,0.0,0.0,0.0
973,2023-09-18,Deaths per million,0.0,0.0,0.0,0.0,0.0,0.0
976,2023-09-25,ICU patients per million,0.0,,,,,
977,2023-09-25,New cases per ten million,0.0,,,,,
978,2023-09-25,Deaths per million,0.0,,,,,
